cohort,n,quantity,condition,estimate,ci_low,ci_high,unit,source_json,source_pointer,holm_across_six_p
main300,300,mean_prompt_tokens,FULL_COT,6977.256666666667,,,tokens per frozen target,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\main_analysis.json,/arms/FULL_COT/prompt_tokens/sum divided by n,
main300,300,mean_prompt_tokens,HEURISTIC_SHORT,5568.816666666667,,,tokens per frozen target,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\main_analysis.json,/arms/HEURISTIC_SHORT/prompt_tokens/sum divided by n,
main300,300,mean_prompt_tokens,PNS_COT,5568.42,,,tokens per frozen target,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\main_analysis.json,/arms/PNS_COT/prompt_tokens/sum divided by n,
main300,300,paired_accuracy_delta,PNS_COT:FULL_COT,0.006666666666666667,-0.020202020202020204,0.03492063492063492,fraction correct,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\main_analysis.json,/comparisons/PNS_COT:FULL_COT/accuracy_delta,0.8145709271453643
main300,300,paired_accuracy_delta,PNS_COT:HEURISTIC_SHORT,0.023333333333333334,-0.0033222591362126247,0.050505050505050504,fraction correct,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\main_analysis.json,/comparisons/PNS_COT:HEURISTIC_SHORT/accuracy_delta,0.28543857280713597
fresh246,246,mean_prompt_tokens,FULL_COT,7717.6016260162605,,,tokens per frozen target,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\fresh_analysis.json,/arms/FULL_COT/prompt_tokens/sum divided by n,
fresh246,246,mean_prompt_tokens,HEURISTIC_SHORT,6280.918699186992,,,tokens per frozen target,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\fresh_analysis.json,/arms/HEURISTIC_SHORT/prompt_tokens/sum divided by n,
fresh246,246,mean_prompt_tokens,PNS_COT,6280.626016260163,,,tokens per frozen target,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\fresh_analysis.json,/arms/PNS_COT/prompt_tokens/sum divided by n,
fresh246,246,paired_accuracy_delta,PNS_COT:FULL_COT,0.06504065040650407,0.024390243902439025,0.10569105691056911,fraction correct,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\fresh_analysis.json,/comparisons/PNS_COT:FULL_COT/accuracy_delta,0.009975671768188477
fresh246,246,paired_accuracy_delta,PNS_COT:HEURISTIC_SHORT,0.06504065040650407,0.02032520325203252,0.10975609756097561,fraction correct,C:\Users\aklovey\Documents\Codex\2026-09-10\9-4-cause-1-8-8\work\add_figures\numeric\figure5_2_inputs\fresh_analysis.json,/comparisons/PNS_COT:HEURISTIC_SHORT/accuracy_delta,0.021001100074499846
